
|'DPR-1-2025-03-09.xlsx'| Parsing...
4/30/2025, 15:07:37 [WARNING]: |'well_stock'| Populated! Change in well 794
4/30/2025, 15:07:37 [WARNING]: |'completions'| Populated! Change in well 794
4/30/2025, 15:07:37 [WARNING]: |'well_stock'| Populated! Change in well 795
4/30/2025, 15:07:37 [WARNING]: |'completions'| Populated! Change in well 795
4/30/2025, 15:07:37 [WARNING]: |'well_stock'| Populated! Change in well 819
4/30/2025, 15:07:37 [WARNING]: |'completions'| Populated! Change in well 819
4/30/2025, 15:07:37 [WARNING]: |'well_stock'| Populated! Change in well 966
4/30/2025, 15:07:37 [WARNING]: |'completions'| Populated! Change in well 966
4/30/2025, 15:07:37 [WARNING]: |'well_stock'| Populated! Change in well 977
4/30/2025, 15:07:37 [WARNING]: |'completions'| Populated! Change in well 977
4/30/2025, 15:07:38 [WARNING]: |'well_stock'| Populated! Change in well 1738
4/30/2025, 15:07:38 [WARNING]: |'completions'| Populated! Change in well 1738
4/30/2025, 15:07:38 [WARNING]: |'well_stock'| Populated! Change in well 1939
4/30/2025, 15:07:38 [WARNING]: |'completions'| Populated! Change in well 1939
4/30/2025, 15:07:38 [WARNING]: |'well_stock'| Populated! Change in well 1943
4/30/2025, 15:07:38 [WARNING]: |'completions'| Populated! Change in well 1943
4/30/2025, 15:07:38 [WARNING]: |'well_stock'| Populated! Change in well 2149
4/30/2025, 15:07:38 [WARNING]: |'completions'| Populated! Change in well 2149
4/30/2025, 15:07:38 [WARNING]: |'well_stock'| Populated! Change in well 2150
4/30/2025, 15:07:38 [WARNING]: |'completions'| Populated! Change in well 2150
4/30/2025, 15:07:38 [WARNING]: |'well_stock'| Populated! Change in well 2151
4/30/2025, 15:07:38 [WARNING]: |'completions'| Populated! Change in well 2151
4/30/2025, 15:07:38 [WARNING]: |'well_stock'| Populated! Change in well 2152
4/30/2025, 15:07:38 [WARNING]: |'completions'| Populated! Change in well 2152
4/30/2025, 15:07:38 [WARNING]: |'well_stock'| Populated! Change in well 2153
4/30/2025, 15:07:38 [WARNING]: |'completions'| Populated! Change in well 2153
4/30/2025, 15:07:38 [WARNING]: |'well_stock'| Populated! Change in well 2156
4/30/2025, 15:07:38 [WARNING]: |'completions'| Populated! Change in well 2156
4/30/2025, 15:07:38 [WARNING]: |'well_stock'| Populated! Change in well 2157
4/30/2025, 15:07:38 [WARNING]: |'completions'| Populated! Change in well 2157
4/30/2025, 15:07:38 [WARNING]: |'well_stock'| Populated! Change in well 2158
4/30/2025, 15:07:38 [WARNING]: |'completions'| Populated! Change in well 2158
